fuck,date,organization,address,license,licenseYear,licenseCode,latitude,longitude
1,1992/10/22,八里山水管理委員會,八里鄉中華路二段208巷5號,83八使字第1680號83八使字第1729號,83,1680,25.030242,121.504264
1,1996/10/04,八里鄉鴻運管理委員會,八里鄉中山路171巷3號,84八使字第 0144 號,84,0144,25.13875,121.511799
1,1996/10/08,八里鄉關渡夏威夷管理委員會,八里鄉中山路125號,65八使字第 2307 號,65,2307,25.138722,121.511585
1,1996/11/07,台北設計家管理委員會,八里鄉中山路2段255巷,83八使字第 0817 號,83,0817,25.017852,121.477123
1,1996/12/16,八里鄉麗景山水管理委員會,八里鄉中山路28之13號11樓,83八使字第 0799 號,83,0799,25.137267,121.510318
1,1996/12/16,麗景山水管理委員會,八里鄉中山路28號,83八使字第 0799 號,83,0799,25.137342,121.510217
1,1997/03/16,海艷華廈管理委員會,八里鄉中山路一段65巷15號,84八使字第 1049 號,84,1049,25.138722,121.511585
1,1997/03/22,富林美景管理委員會,八里鄉龍米路二段115號,85八使字第 0499 號,85,0499,25.143042,121.447115
1,1997/04/01,福星管理委員會,八里鄉中華路二段160號6樓,83八使字第 1573 號,83,1573,25.031013,121.50425
1,1997/05/07,台北上海管理委員會,八里鄉中山路245號,84八使字第 1043 號,84,1043,25.138722,121.511585
1,1997/05/20,愛琴海管理委員會,八里鄉中山路70之20號7樓,84八使字第 1543 號,84,1543,25.138667,121.511667
1,1997/06/06,陽明山水管理委員會,八里鄉龍源村4鄰頂寮二街33號,84八使字第 1289 號,84,1289,25.125029,121.450258
1,1997/07/05,早安八里管理委員會,八里鄉中山路30之8號2樓,85八使字第 0358 號,85,0358,25.137484,121.510741
1,1997/07/22,鶴馨居管理委員會,八里鄉中山路2之66號,84八使字第 0144 號,84,0144,25.136724,121.506511
1,1997/08/08,地中海管理委員會,八里鄉龍米路一段442號,85八使字第 1337 號,85,1337,25.134205,121.450891
1,1997/10/08,海岸新都管理委員會,八里鄉龍米路2段200巷12號,83八使字第 1043 號,83,1043,25.159483,121.433293
1,1997/12/18,山水雲莊管理委員會,八里鄉龍形三街21號,85八使字第 1181 號,85,1181,25.131397,121.449245
1,1998/01/21,巴黎風情管理委員會,八里鄉中華路二段172號,84八使字第 0189 號,84,0189,25.030595,121.504271
1,1998/01/21,萊茵風情管理委員會,八里鄉中山路50號,86八使字第 0224 號,86,0224,25.138722,121.511585
1,1998/03/23,黃金海岸管理委員會,八里鄉中華路二段288號,84八使字第 1627 號,84,1627,25.029734,121.504451
